type	code	sido_code	name	display_order
SIDO	11		서울특별시	1
SIDO	41		경기도	2
SIDO	28		인천광역시	3
SIDO	26		부산광역시	4
SIDO	27		대구광역시	5
SIDO	30		대전광역시	6
SIDO	29		광주광역시	7
SIDO	31		울산광역시	8
SIDO	36		세종특별자치시	9
SIDO	51		강원특별자치도	10
SIDO	43		충청북도	11
SIDO	44		충청남도	12
SIDO	52		전북특별자치도	13
SIDO	46		전라남도	14
SIDO	47		경상북도	15
SIDO	48		경상남도	16
SIDO	50		제주특별자치도	17
SIGUNGU	11680	11	강남구	1
SIGUNGU	11740	11	강동구	2
SIGUNGU	11305	11	강북구	3
SIGUNGU	11500	11	강서구	4
SIGUNGU	11620	11	관악구	5
SIGUNGU	11215	11	광진구	6
SIGUNGU	11530	11	구로구	7
SIGUNGU	11545	11	금천구	8
SIGUNGU	11350	11	노원구	9
SIGUNGU	11320	11	도봉구	10
SIGUNGU	11230	11	동대문구	11
SIGUNGU	11590	11	동작구	12
SIGUNGU	11440	11	마포구	13
SIGUNGU	11410	11	서대문구	14
SIGUNGU	11650	11	서초구	15
SIGUNGU	11200	11	성동구	16
SIGUNGU	11290	11	성북구	17
SIGUNGU	11710	11	송파구	18
SIGUNGU	11470	11	양천구	19
SIGUNGU	11560	11	영등포구	20
SIGUNGU	11170	11	용산구	21
SIGUNGU	11380	11	은평구	22
SIGUNGU	11110	11	종로구	23
SIGUNGU	11140	11	중구	24
SIGUNGU	11260	11	중랑구	25
SIGUNGU	41820	41	가평군	1
SIGUNGU	41281	41	고양시 덕양구	2
SIGUNGU	41285	41	고양시 일산동구	3
SIGUNGU	41287	41	고양시 일산서구	4
SIGUNGU	41290	41	과천시	5
SIGUNGU	41210	41	광명시	6
SIGUNGU	41610	41	광주시	7
SIGUNGU	41310	41	구리시	8
SIGUNGU	41410	41	군포시	9
SIGUNGU	41570	41	김포시	10
SIGUNGU	41360	41	남양주시	11
SIGUNGU	41250	41	동두천시	12
SIGUNGU	41196	41	부천시 오정구	13
SIGUNGU	41192	41	부천시 원미구	14
SIGUNGU	41194	41	부천시 소사구	15
SIGUNGU	41135	41	성남시 분당구	16
SIGUNGU	41131	41	성남시 수정구	17
SIGUNGU	41133	41	성남시 중원구	18
SIGUNGU	41113	41	수원시 권선구	19
SIGUNGU	41117	41	수원시 영통구	20
SIGUNGU	41111	41	수원시 장안구	21
SIGUNGU	41115	41	수원시 팔달구	22
SIGUNGU	41390	41	시흥시	23
SIGUNGU	41273	41	안산시 단원구	24
SIGUNGU	41271	41	안산시 상록구	25
SIGUNGU	41550	41	안성시	26
SIGUNGU	41173	41	안양시 동안구	27
SIGUNGU	41171	41	안양시 만안구	28
SIGUNGU	41630	41	양주시	29
SIGUNGU	41830	41	양평군	30
SIGUNGU	41670	41	여주시	31
SIGUNGU	41800	41	연천군	32
SIGUNGU	41370	41	오산시	33
SIGUNGU	41463	41	용인시 기흥구	34
SIGUNGU	41465	41	용인시 수지구	35
SIGUNGU	41461	41	용인시 처인구	36
SIGUNGU	41430	41	의왕시	37
SIGUNGU	41150	41	의정부시	38
SIGUNGU	41500	41	이천시	39
SIGUNGU	41480	41	파주시	40
SIGUNGU	41220	41	평택시	41
SIGUNGU	41650	41	포천시	42
SIGUNGU	41450	41	하남시	43
SIGUNGU	41597	41	화성시 동탄구	44
SIGUNGU	41591	41	화성시 만세구	45
SIGUNGU	41595	41	화성시 병점구	46
SIGUNGU	41593	41	화성시 효행구	47
SIGUNGU	28710	28	강화군	1
SIGUNGU	28245	28	계양구	2
SIGUNGU	28200	28	남동구	3
SIGUNGU	28140	28	동구	4
SIGUNGU	28177	28	미추홀구	5
SIGUNGU	28237	28	부평구	6
SIGUNGU	28260	28	서구	7
SIGUNGU	28185	28	연수구	8
SIGUNGU	28720	28	옹진군	9
SIGUNGU	28110	28	중구	10
SIGUNGU	26440	26	강서구	1
SIGUNGU	26410	26	금정구	2
SIGUNGU	26710	26	기장군	3
SIGUNGU	26290	26	남구	4
SIGUNGU	26170	26	동구	5
SIGUNGU	26260	26	동래구	6
SIGUNGU	26230	26	부산진구	7
SIGUNGU	26320	26	북구	8
SIGUNGU	26530	26	사상구	9
SIGUNGU	26380	26	사하구	10
SIGUNGU	26140	26	서구	11
SIGUNGU	26500	26	수영구	12
SIGUNGU	26470	26	연제구	13
SIGUNGU	26200	26	영도구	14
SIGUNGU	26110	26	중구	15
SIGUNGU	26350	26	해운대구	16
SIGUNGU	27720	27	군위군	1
SIGUNGU	27200	27	남구	2
SIGUNGU	27290	27	달서구	3
SIGUNGU	27710	27	달성군	4
SIGUNGU	27140	27	동구	5
SIGUNGU	27230	27	북구	6
SIGUNGU	27170	27	서구	7
SIGUNGU	27260	27	수성구	8
SIGUNGU	27110	27	중구	9
SIGUNGU	30230	30	대덕구	1
SIGUNGU	30110	30	동구	2
SIGUNGU	30170	30	서구	3
SIGUNGU	30200	30	유성구	4
SIGUNGU	30140	30	중구	5
SIGUNGU	29200	29	광산구	1
SIGUNGU	29155	29	남구	2
SIGUNGU	29110	29	동구	3
SIGUNGU	29170	29	북구	4
SIGUNGU	29140	29	서구	5
SIGUNGU	31140	31	남구	1
SIGUNGU	31170	31	동구	2
SIGUNGU	31200	31	북구	3
SIGUNGU	31710	31	울주군	4
SIGUNGU	31110	31	중구	5
SIGUNGU	36110	36	세종특별자치시	1
SIGUNGU	51150	51	강릉시	1
SIGUNGU	51820	51	고성군	2
SIGUNGU	51170	51	동해시	3
SIGUNGU	51230	51	삼척시	4
SIGUNGU	51210	51	속초시	5
SIGUNGU	51800	51	양구군	6
SIGUNGU	51830	51	양양군	7
SIGUNGU	51750	51	영월군	8
SIGUNGU	51130	51	원주시	9
SIGUNGU	51810	51	인제군	10
SIGUNGU	51770	51	정선군	11
SIGUNGU	51780	51	철원군	12
SIGUNGU	51110	51	춘천시	13
SIGUNGU	51190	51	태백시	14
SIGUNGU	51760	51	평창군	15
SIGUNGU	51720	51	홍천군	16
SIGUNGU	51790	51	화천군	17
SIGUNGU	51730	51	횡성군	18
SIGUNGU	43760	43	괴산군	1
SIGUNGU	43800	43	단양군	2
SIGUNGU	43720	43	보은군	3
SIGUNGU	43740	43	영동군	4
SIGUNGU	43730	43	옥천군	5
SIGUNGU	43770	43	음성군	6
SIGUNGU	43150	43	제천시	7
SIGUNGU	43745	43	증평군	8
SIGUNGU	43750	43	진천군	9
SIGUNGU	43111	43	청주시 상당구	10
SIGUNGU	43112	43	청주시 서원구	11
SIGUNGU	43114	43	청주시 청원구	12
SIGUNGU	43113	43	청주시 흥덕구	13
SIGUNGU	43130	43	충주시	14
SIGUNGU	44250	44	계룡시	1
SIGUNGU	44150	44	공주시	2
SIGUNGU	44710	44	금산군	3
SIGUNGU	44230	44	논산시	4
SIGUNGU	44270	44	당진시	5
SIGUNGU	44180	44	보령시	6
SIGUNGU	44760	44	부여군	7
SIGUNGU	44210	44	서산시	8
SIGUNGU	44770	44	서천군	9
SIGUNGU	44200	44	아산시	10
SIGUNGU	44810	44	예산군	11
SIGUNGU	44131	44	천안시 동남구	12
SIGUNGU	44133	44	천안시 서북구	13
SIGUNGU	44790	44	청양군	14
SIGUNGU	44825	44	태안군	15
SIGUNGU	44800	44	홍성군	16
SIGUNGU	52790	52	고창군	1
SIGUNGU	52130	52	군산시	2
SIGUNGU	52210	52	김제시	3
SIGUNGU	52190	52	남원시	4
SIGUNGU	52730	52	무주군	5
SIGUNGU	52800	52	부안군	6
SIGUNGU	52770	52	순창군	7
SIGUNGU	52710	52	완주군	8
SIGUNGU	52140	52	익산시	9
SIGUNGU	52750	52	임실군	10
SIGUNGU	52740	52	장수군	11
SIGUNGU	52113	52	전주시 덕진구	12
SIGUNGU	52111	52	전주시 완산구	13
SIGUNGU	52180	52	정읍시	14
SIGUNGU	52720	52	진안군	15
SIGUNGU	46810	46	강진군	1
SIGUNGU	46770	46	고흥군	2
SIGUNGU	46720	46	곡성군	3
SIGUNGU	46230	46	광양시	4
SIGUNGU	46730	46	구례군	5
SIGUNGU	46170	46	나주시	6
SIGUNGU	46710	46	담양군	7
SIGUNGU	46110	46	목포시	8
SIGUNGU	46840	46	무안군	9
SIGUNGU	46780	46	보성군	10
SIGUNGU	46150	46	순천시	11
SIGUNGU	46910	46	신안군	12
SIGUNGU	46130	46	여수시	13
SIGUNGU	46870	46	영광군	14
SIGUNGU	46830	46	영암군	15
SIGUNGU	46890	46	완도군	16
SIGUNGU	46880	46	장성군	17
SIGUNGU	46800	46	장흥군	18
SIGUNGU	46900	46	진도군	19
SIGUNGU	46860	46	함평군	20
SIGUNGU	46820	46	해남군	21
SIGUNGU	46790	46	화순군	22
SIGUNGU	47290	47	경산시	1
SIGUNGU	47130	47	경주시	2
SIGUNGU	47830	47	고령군	3
SIGUNGU	47190	47	구미시	4
SIGUNGU	47150	47	김천시	5
SIGUNGU	47280	47	문경시	6
SIGUNGU	47920	47	봉화군	7
SIGUNGU	47250	47	상주시	8
SIGUNGU	47840	47	성주군	9
SIGUNGU	47170	47	안동시	10
SIGUNGU	47770	47	영덕군	11
SIGUNGU	47760	47	영양군	12
SIGUNGU	47210	47	영주시	13
SIGUNGU	47230	47	영천시	14
SIGUNGU	47900	47	예천군	15
SIGUNGU	47940	47	울릉군	16
SIGUNGU	47930	47	울진군	17
SIGUNGU	47730	47	의성군	18
SIGUNGU	47820	47	청도군	19
SIGUNGU	47750	47	청송군	20
SIGUNGU	47850	47	칠곡군	21
SIGUNGU	47111	47	포항시 남구	22
SIGUNGU	47113	47	포항시 북구	23
SIGUNGU	48310	48	거제시	1
SIGUNGU	48880	48	거창군	2
SIGUNGU	48820	48	고성군	3
SIGUNGU	48250	48	김해시	4
SIGUNGU	48840	48	남해군	5
SIGUNGU	48270	48	밀양시	6
SIGUNGU	48240	48	사천시	7
SIGUNGU	48860	48	산청군	8
SIGUNGU	48330	48	양산시	9
SIGUNGU	48720	48	의령군	10
SIGUNGU	48170	48	진주시	11
SIGUNGU	48740	48	창녕군	12
SIGUNGU	48125	48	창원시 마산합포구	13
SIGUNGU	48127	48	창원시 마산회원구	14
SIGUNGU	48123	48	창원시 성산구	15
SIGUNGU	48121	48	창원시 의창구	16
SIGUNGU	48129	48	창원시 진해구	17
SIGUNGU	48220	48	통영시	18
SIGUNGU	48850	48	하동군	19
SIGUNGU	48730	48	함안군	20
SIGUNGU	48870	48	함양군	21
SIGUNGU	48890	48	합천군	22
SIGUNGU	50130	50	서귀포시	1
SIGUNGU	50110	50	제주시	2
